elapsed_s,cpu_user_pct,cpu_system_pct,cpu_total_pct,rss_mb,words_total,speaking_duration_s,avg_wpm,rms_avg,thermal_state,marker
1310.0,0.00,0.00,0.00,22.2,10328,1309.7,434.0,0.013828,0,
1320.0,0.00,0.00,0.00,22.3,10451,1317.2,571.4,0.014464,0,
1330.0,0.00,0.00,0.00,22.4,10884,1328.8,475.3,0.015225,0,
1340.0,0.00,0.00,0.00,22.4,10965,1336.4,355.5,0.015871,0,
1350.0,0.00,0.00,0.00,22.5,11214,1348.0,511.2,0.013254,0,
1360.0,0.00,0.00,0.00,22.5,11511,1359.6,699.4,0.013618,0,
1370.0,7.82,1.23,9.06,22.5,11930,1367.2,534.9,0.012974,0,
1380.0,0.00,0.00,0.00,23.2,12425,1378.8,558.8,0.013284,0,
1390.0,0.00,0.00,0.00,23.8,12748,1386.4,391.2,0.015101,0,
1400.0,0.00,0.00,0.00,24.2,13815,1398.0,460.4,0.014356,0,
1410.0,0.00,0.00,0.00,24.2,14610,1409.4,379.1,0.012953,0,
1420.0,0.00,0.00,0.00,24.2,14912,1417.2,288.0,0.014931,0,
1430.0,0.00,0.00,0.00,23.6,15172,1428.6,201.6,0.013309,0,
1440.0,0.00,0.00,0.00,23.6,15347,1436.3,172.7,0.015459,0,
1450.0,0.00,0.00,0.00,23.6,15974,1447.8,120.9,0.015047,0,
1460.0,14.64,2.63,17.27,23.8,17329,1459.9,318.2,0.012115,0,
1470.0,0.00,0.00,0.00,24.4,17724,1467.2,285.7,0.012889,0,
1480.0,0.00,0.00,0.00,24.5,18161,1478.5,236.3,0.011687,0,
1490.0,0.00,0.00,0.00,24.5,18459,1486.2,165.4,0.040953,0,
1500.0,0.00,0.00,0.00,24.7,18844,1497.7,413.8,0.034906,0,
1510.0,0.00,0.00,0.00,24.8,19482,1509.2,558.2,0.016215,0,
1520.0,11.08,1.65,12.74,24.1,19795,1516.9,584.1,0.014526,0,
1530.0,0.00,0.00,0.00,24.1,20526,1528.4,631.8,0.017202,0,
1540.0,0.00,0.00,0.00,24.1,20804,1536.1,442.3,0.014046,0,
1550.0,0.00,0.00,0.00,24.2,21621,1547.9,494.9,0.013681,0,
